feature,value
lbp-3D-k_glcm_ClusterTendency,0.36569706267173435
lbp-3D-k_glcm_ClusterProminence,0.3623302505058707
lbp-3D-k_glcm_Autocorrelation,0.36071753165881465
lbp-3D-k_glcm_SumSquares,0.3597813576999101
lbp-3D-k_glcm_SumAverage,0.35844540447612927
lbp-3D-k_glcm_JointAverage,0.35844540447612677
lbp-3D-k_glcm_SumEntropy,0.3571952085548481
lbp-3D-k_glcm_JointEntropy,0.3547941683456852
lbp-3D-k_glcm_JointEnergy,0.3540820350892558
lbp-3D-k_firstorder_MeanAbsoluteDeviation,0.35402393270261384
lbp-3D-k_glcm_MaximumProbability,0.3539329336528857
lbp-3D-k_firstorder_90Percentile,0.3510645074717927
lbp-3D-k_firstorder_RobustMeanAbsoluteDeviation,0.34690318717088486
lbp-3D-k_firstorder_Entropy,0.3441688131921015
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,0.34405779792576924
lbp-3D-k_glcm_Id,0.3440352818260525
lbp-3D-k_glcm_Idm,0.3440352818260525
lbp-3D-k_glcm_Contrast,0.34403528182605075
lbp-3D-k_glcm_DifferenceAverage,0.34403528182605075
lbp-3D-k_glcm_InverseVariance,0.34403528182605075
lbp-3D-k_glcm_Idmn,0.34403528182604964
lbp-3D-k_glcm_Idn,0.3440352818260465
lbp-3D-k_glrlm_RunVariance,0.34361262071447624
lbp-3D-k_gldm_GrayLevelVariance,0.3430830870886292
lbp-3D-k_firstorder_Uniformity,0.3430830870886287
lbp-3D-k_firstorder_InterquartileRange,0.3426593474899618
lbp-3D-k_glrlm_LongRunLowGrayLevelEmphasis,0.34154957583104045
lbp-3D-k_glrlm_LongRunEmphasis,0.3398189263136211
lbp-3D-k_gldm_HighGrayLevelEmphasis,0.3395826957374309
lbp-3D-k_gldm_LowGrayLevelEmphasis,0.3395826957374307
lbp-3D-k_glcm_DifferenceVariance,0.33899888029673275
lbp-3D-k_firstorder_Variance,0.33854266254289794
lbp-3D-k_gldm_LargeDependenceEmphasis,0.33845939819611875
lbp-3D-k_glcm_DifferenceEntropy,0.33607373526474005
lbp-3D-k_glrlm_RunPercentage,0.3346132114483997
lbp-3D-k_glrlm_LongRunHighGrayLevelEmphasis,0.33265668965909545
lbp-3D-k_glrlm_RunLengthNonUniformityNormalized,0.33186360083400035
lbp-3D-k_ngtdm_Complexity,0.33016915661529417
wavelet-HLH_glszm_ZoneVariance,0.32940581796545987
wavelet-HLH_glszm_LargeAreaEmphasis,0.3293818834271139
lbp-3D-k_ngtdm_Contrast,0.3290875477591322
lbp-3D-k_glcm_ClusterShade,0.3280059566555007
wavelet-LHH_glszm_ZoneVariance,0.32567869522556975
wavelet-LHH_glszm_LargeAreaEmphasis,0.32561221809443913
logarithm_glszm_SizeZoneNonUniformityNormalized,0.3178998273009519
logarithm_glcm_Idn,0.31633780063855904
logarithm_glszm_SmallAreaEmphasis,0.3161493796003864
wavelet-HHH_glszm_ZoneVariance,0.31532496710359337
lbp-3D-k_gldm_DependenceEntropy,0.3134872488558564
wavelet-HLH_ngtdm_Busyness,0.31087671462349714
wavelet-HHH_glszm_LargeAreaEmphasis,0.3107561828602124
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.30725288520598526
wavelet-HHL_glszm_ZoneVariance,0.30705893460911515
wavelet-HHL_glszm_LargeAreaEmphasis,0.3068245951388162
