feature,importance
lbp-3D-k_glcm_ClusterTendency,0.365697063
lbp-3D-k_glcm_ClusterProminence,0.362330251
lbp-3D-k_glcm_Autocorrelation,0.360717532
lbp-3D-k_glcm_SumSquares,0.359781358
lbp-3D-k_glcm_SumAverage,0.358445404
lbp-3D-k_glcm_JointAverage,0.358445404
lbp-3D-k_glcm_SumEntropy,0.357195209
lbp-3D-k_glcm_JointEntropy,0.354794168
lbp-3D-k_glcm_JointEnergy,0.354082035
lbp-3D-k_firstorder_MeanAbsoluteDeviation,0.354023933
lbp-3D-k_glcm_MaximumProbability,0.353932934
lbp-3D-k_firstorder_90Percentile,0.351064507
lbp-3D-k_firstorder_RobustMeanAbsoluteDeviation,0.346903187
lbp-3D-k_firstorder_Entropy,0.344168813
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,0.344057798
lbp-3D-k_glcm_Id,0.344035282
lbp-3D-k_glcm_Idm,0.344035282
lbp-3D-k_glcm_Contrast,0.344035282
lbp-3D-k_glcm_DifferenceAverage,0.344035282
lbp-3D-k_glcm_InverseVariance,0.344035282
lbp-3D-k_glcm_Idmn,0.344035282
lbp-3D-k_glcm_Idn,0.344035282
lbp-3D-k_glrlm_RunVariance,0.343612621
lbp-3D-k_gldm_GrayLevelVariance,0.343083087
lbp-3D-k_firstorder_Uniformity,0.343083087
lbp-3D-k_firstorder_InterquartileRange,0.342659347
lbp-3D-k_glrlm_LongRunLowGrayLevelEmphasis,0.341549576
lbp-3D-k_glrlm_LongRunEmphasis,0.339818926
lbp-3D-k_gldm_HighGrayLevelEmphasis,0.339582696
lbp-3D-k_gldm_LowGrayLevelEmphasis,0.339582696
lbp-3D-k_glcm_DifferenceVariance,0.33899888
lbp-3D-k_firstorder_Variance,0.338542663
lbp-3D-k_gldm_LargeDependenceEmphasis,0.338459398
lbp-3D-k_glcm_DifferenceEntropy,0.336073735
lbp-3D-k_glrlm_RunPercentage,0.334613211
lbp-3D-k_glrlm_LongRunHighGrayLevelEmphasis,0.33265669
lbp-3D-k_glrlm_RunLengthNonUniformityNormalized,0.331863601
lbp-3D-k_ngtdm_Complexity,0.330169157
wavelet-HLH_glszm_ZoneVariance,0.329405818
wavelet-HLH_glszm_LargeAreaEmphasis,0.329381883
lbp-3D-k_ngtdm_Contrast,0.329087548
lbp-3D-k_glcm_ClusterShade,0.328005957
wavelet-LHH_glszm_ZoneVariance,0.325678695
wavelet-LHH_glszm_LargeAreaEmphasis,0.325612218
logarithm_glszm_SizeZoneNonUniformityNormalized,0.317899827
logarithm_glcm_Idn,0.316337801
logarithm_glszm_SmallAreaEmphasis,0.31614938
wavelet-HHH_glszm_ZoneVariance,0.315324967
