feature,importance
logarithm_glcm_Idmn,0.2520433831993438
logarithm_glcm_Idn,0.23451824217156614
wavelet-LHH_glcm_Contrast,0.21888497997167602
exponential_glszm_SmallAreaLowGrayLevelEmphasis,0.2113279585435197
wavelet-LHH_glcm_SumSquares,0.1998988264676264
wavelet-LHH_glcm_DifferenceVariance,0.19153221657343167
wavelet-LHH_glcm_ClusterTendency,0.18135485294226217
wavelet-LHH_glcm_ClusterProminence,0.17572141336798885
wavelet-LHH_firstorder_Variance,0.17222746560575497
wavelet-LHH_gldm_GrayLevelVariance,0.1712492039288084
wavelet-LHH_glrlm_GrayLevelVariance,0.16535291182586673
lbp-3D-m2_firstorder_Range,0.1588376655200635
lbp-3D-m2_firstorder_Maximum,0.1588376655200635
square_glrlm_ShortRunEmphasis,0.14796705215015651
squareroot_glcm_MaximumProbability,-0.15319440842508006
lbp-3D-k_ngtdm_Contrast,-0.1544444827029318
logarithm_glcm_MaximumProbability,-0.20232745846874228
logarithm_glcm_JointEnergy,-0.2103065804646173
logarithm_glszm_SmallAreaEmphasis,-0.23042128619208324
square_gldm_LargeDependenceHighGrayLevelEmphasis,-0.2313825197832768
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,-0.2476168155220342
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,-0.25704865235891444
logarithm_glszm_SizeZoneNonUniformityNormalized,-0.26724048610769546
wavelet-HLL_glcm_MCC,-0.2699819497049706
